Temperatura (°C),pH,Oxígeno Disuelto (mg/L),Turbidez (NTU),Conductividad (uS/cm)
22.06,7.95872,2.56,78.27327738,1304.95659
22.06,8.05708,2.52,83.19364232,1322.304696
22.06,7.95872,2.52,78.27327738,1304.95659
22.06,8.05708,2.61,78.27327738,1313.604223
22.06,8.05708,2.56,78.27327738,1322.304696
22.06,8.05708,2.56,83.19364232,1313.604223
22.06,7.95872,2.56,83.19364232,1304.95659
22.06,7.95872,2.56,80.72006986,1313.604223
22.06,7.95872,2.56,78.27327738,1313.604223
22.06,7.95872,2.56,80.72006986,1313.604223
22.06,8.05708,2.52,83.19364232,1313.604223
22.06,7.95872,2.56,83.19364232,1296.34397
22.06,7.95872,2.52,83.19364232,1313.604223
22.06,7.95872,2.61,80.72006986,1322.304696
22.06,7.95872,2.56,83.19364232,1296.34397
22.06,7.95872,2.56,83.19364232,1304.95659
22.06,7.95872,2.52,78.27327738,1304.95659
22.06,7.95872,2.56,83.19364232,1313.604223
22.06,7.95872,2.52,80.72006986,1313.604223
22.06,7.95872,2.56,80.72006986,1313.604223
22.06,7.95872,2.52,78.27327738,1304.95659
22.06,7.95872,2.52,83.19364232,1304.95659
22.06,7.95872,2.56,80.72006986,1313.604223
22.06,7.95872,2.52,80.72006986,1304.95659
22.06,7.95872,2.52,83.19364232,1304.95659
22.0,7.95872,2.56,80.72006986,1313.604223
22.06,7.95872,2.56,80.72006986,1304.95659
22.06,7.95872,2.56,80.72006986,1304.95659
22.06,7.95872,2.56,78.27327738,1304.95659
22.06,7.95872,2.52,80.72006986,1313.604223
22.06,7.95872,2.56,80.72006986,1322.304696
22.06,7.95872,2.52,83.19364232,1313.604223
22.06,7.95872,2.52,78.27327738,1313.604223
22.06,7.95872,2.56,80.72006986,1313.604223
22.06,7.95872,2.48,78.27327738,1304.95659
22.06,7.95872,2.52,80.72006986,1322.304696
22.06,7.95872,2.52,103.4065963,1304.95659
22.0,7.95872,2.52,108.8518487,1313.604223
22.06,7.95872,2.56,103.4065963,1313.604223
22.06,7.95872,2.56,100.72414,1313.604223
22.06,7.95872,2.69,95.96320426,1313.604223
22.06,7.95872,2.82,108.8518487,1313.604223
22.06,7.95872,2.82,111.6146449,1313.604223
22.06,7.95872,2.86,111.6146449,1313.604223
22.06,7.95872,2.86,103.4065963,1313.604223
22.0,7.95872,2.91,106.1158325,1322.304696
22.06,7.95872,2.86,100.72414,1304.95659
22.06,7.95872,2.91,106.1158325,1313.604223
22.0,7.95872,2.91,98.06846371,1304.95659
22.06,7.95872,2.91,95.96320426,1313.604223
22.12,8.35216,2.27,93.35573192,1331.022424
22.12,8.2538,2.22,88.22112717,1331.022424
22.12,8.35216,2.27,93.35573192,1331.022424
22.12,8.35216,2.27,98.06846371,1331.022424
22.12,8.2538,2.27,98.06846371,1331.022424
22.19,8.2538,2.27,93.35573192,1331.022424
22.12,8.35216,2.27,95.96320426,1331.022424
22.12,8.2538,2.48,98.06846371,1331.022424
22.19,8.2538,2.56,100.72414,1331.022424
22.12,8.2538,2.61,93.35573192,1331.022424
22.19,8.2538,2.74,90.77503956,1331.022424
22.19,8.2538,2.78,93.35573192,1304.95659
22.12,8.2538,2.86,95.96320426,1313.604223
22.19,8.2538,2.91,100.72414,1313.604223
22.12,8.2538,2.99,95.96320426,1304.95659
22.19,8.2538,3.04,98.06846371,1304.95659
22.19,8.2538,3.16,95.96320426,1313.604223
22.19,8.2538,3.16,100.72414,1304.95659
22.19,8.2538,3.16,98.06846371,1313.604223
22.19,8.2538,3.25,106.1158325,1313.604223
22.12,8.15544,3.29,95.96320426,1313.604223
22.19,8.2538,3.25,103.4065963,1304.95659
22.12,8.2538,3.29,95.96320426,1304.95659
22.19,8.2538,3.25,98.06846371,1304.95659
22.12,8.2538,3.25,95.96320426,1304.95659
22.12,8.2538,3.21,95.96320426,1304.95659
22.12,8.2538,3.25,98.06846371,1304.95659
22.19,8.15544,3.16,95.96320426,1313.604223
22.12,8.2538,3.21,88.22112717,1304.95659
22.12,8.15544,3.12,85.69399476,1296.34397
22.12,8.2538,3.12,83.19364232,1296.34397
22.19,8.15544,3.08,95.96320426,1313.604223
22.12,8.2538,3.08,100.72414,1304.95659
22.12,8.2538,3.04,106.1158325,1313.604223
22.12,8.2538,2.99,108.8518487,1313.604223
22.12,8.15544,2.99,111.6146449,1313.604223
22.12,8.2538,2.99,114.4042211,1304.95659
22.12,8.15544,2.95,108.8518487,1304.95659
22.12,8.15544,2.95,103.4065963,1304.95659
22.12,8.15544,2.95,98.06846371,1304.95659
22.12,8.15544,2.95,93.35573192,1296.34397
22.12,8.15544,2.91,93.35573192,1313.604223
22.12,8.2538,2.91,88.22112717,1304.95659
22.12,8.15544,2.91,93.35573192,1313.604223
22.12,8.15544,2.86,100.72414,1313.604223
22.12,8.15544,2.86,106.1158325,1313.604223
22.12,8.15544,2.86,114.4042211,1313.604223
22.12,8.15544,2.86,103.4065963,1304.95659
22.12,8.15544,2.82,103.4065963,1304.95659
22.12,8.15544,2.86,100.72414,1313.604223
22.12,8.15544,2.82,90.77503956,1313.604223
22.12,8.15544,2.82,100.72414,1313.604223
22.12,8.15544,2.82,108.8518487,1304.95659
22.12,8.15544,2.78,117.2205772,1313.604223
22.12,8.15544,2.78,108.8518487,1313.604223
22.12,8.15544,2.78,103.4065963,1322.304696
22.12,8.15544,2.78,103.4065963,1304.95659
22.12,8.15544,2.78,108.8518487,1304.95659
22.12,8.15544,2.78,106.1158325,1304.95659
22.12,8.05708,2.74,106.1158325,1304.95659
22.12,8.15544,2.74,106.1158325,1304.95659
22.12,8.15544,2.78,106.1158325,1313.604223
22.12,8.15544,2.74,108.8518487,1304.95659
22.12,8.15544,2.74,106.1158325,1296.34397
22.12,8.05708,2.74,108.8518487,1313.604223
22.12,8.05708,2.74,108.8518487,1304.95659
22.12,8.05708,2.74,108.8518487,1304.95659
22.12,8.05708,2.74,106.1158325,1304.95659
22.12,8.05708,2.74,103.4065963,1313.604223
22.12,8.05708,2.74,106.1158325,1313.604223
22.12,8.05708,2.69,100.72414,1304.95659
22.12,8.15544,2.65,103.4065963,1304.95659
22.12,8.15544,2.69,103.4065963,1304.95659
22.12,8.05708,2.69,100.72414,1313.604223
22.12,8.15544,2.74,98.06846371,1313.604223
22.12,8.05708,2.69,95.96320426,1304.95659
22.12,8.05708,2.69,98.06846371,1304.95659
22.12,8.05708,2.65,100.72414,1313.604223
22.12,8.15544,2.69,100.72414,1313.604223
22.12,8.05708,2.65,100.72414,1313.604223
22.12,8.05708,2.69,103.4065963,1304.95659
22.12,8.05708,2.65,98.06846371,1313.604223
22.06,8.05708,2.69,100.72414,1313.604223
22.12,8.05708,2.65,100.72414,1313.604223
22.12,8.05708,2.65,103.4065963,1304.95659
22.06,8.05708,2.65,100.72414,1313.604223
22.12,8.15544,2.69,98.06846371,1304.95659
22.12,8.05708,2.61,98.06846371,1313.604223
22.12,8.05708,2.65,100.72414,1313.604223
22.12,8.05708,2.65,100.72414,1313.604223
22.12,8.05708,2.65,100.72414,1304.95659
22.12,8.05708,2.69,100.72414,1304.95659
22.12,8.05708,2.61,103.4065963,1313.604223
22.12,7.95872,2.61,103.4065963,1313.604223
22.12,8.05708,2.61,100.72414,1322.304696
22.12,8.05708,2.61,100.72414,1304.95659
22.06,8.05708,2.61,100.72414,1313.604223
22.12,8.05708,2.61,98.06846371,1313.604223
22.12,8.05708,2.65,100.72414,1304.95659
22.12,8.05708,2.61,100.72414,1322.304696
22.12,8.05708,2.61,100.72414,1313.604223
22.12,8.05708,2.61,98.06846371,1296.34397
22.12,8.05708,2.65,103.4065963,1313.604223
22.12,7.95872,2.61,106.1158325,1313.604223
22.06,8.05708,2.61,106.1158325,1304.95659
22.06,8.05708,2.61,106.1158325,1304.95659
22.12,8.05708,2.61,106.1158325,1304.95659
22.12,8.05708,2.61,108.8518487,1313.604223
