Fecha y hora,pH,Temperatura (°C),Conductividad (µS/cm),Oxígeno disuelto (mg/L),Turbidez (NTU)
2025-10-29 12:50:39,5.42,25.4,80.0,0.16,0.5
2025-10-29 12:50:40,5.43,25.4,50.0,0.12,0.5
2025-10-29 12:50:41,5.43,25.4,110.0,0.12,0.5
2025-10-29 12:50:42,5.42,25.4,80.0,0.16,0.5
2025-10-29 12:50:43,5.42,25.4,80.0,0.08,0.5
2025-10-29 12:50:44,5.43,25.4,80.0,0.12,0.5
2025-10-29 12:50:45,5.43,25.4,50.0,0.12,0.5
2025-10-29 12:50:46,5.42,25.4,110.0,0.12,0.5
2025-10-29 12:50:47,5.42,25.4,50.0,0.12,0.5
2025-10-29 12:50:48,5.42,25.4,110.0,0.16,0.5
2025-10-29 12:50:49,5.41,25.4,110.0,0.16,0.5
2025-10-29 12:50:50,5.42,25.4,50.0,0.12,0.5
2025-10-29 12:50:51,5.42,25.4,110.0,0.12,0.5
2025-10-29 12:50:52,5.43,25.4,80.0,0.16,0.5
2025-10-29 12:50:53,5.41,25.4,110.0,0.16,0.5
2025-10-29 12:50:54,5.4,25.4,50.0,0.08,0.5
2025-10-29 12:50:55,5.42,25.4,50.0,0.08,0.5
2025-10-29 12:50:56,5.42,25.4,80.0,0.16,0.5
2025-10-29 12:50:57,5.43,25.4,110.0,0.16,0.5
2025-10-29 12:50:58,5.41,25.4,110.0,0.12,0.5
2025-10-29 12:50:59,5.42,25.4,80.0,0.12,0.5
2025-10-29 12:51:00,5.41,25.4,80.0,0.12,0.5
2025-10-29 12:51:01,5.43,25.4,50.0,0.12,0.5
2025-10-29 12:51:02,5.42,25.4,50.0,0.12,0.5
2025-10-29 12:51:03,5.41,25.4,80.0,0.12,0.5
2025-10-29 12:51:04,5.42,25.4,80.0,0.16,0.5
2025-10-29 12:51:05,5.4,25.4,80.0,0.08,0.5
2025-10-29 12:51:06,5.43,25.4,80.0,0.12,0.5
2025-10-29 12:51:07,5.43,25.4,80.0,0.12,0.5
2025-10-29 12:51:08,5.42,25.4,110.0,0.12,0.5
2025-10-29 12:51:09,5.43,25.4,50.0,0.12,0.5
2025-10-29 12:51:10,5.42,25.4,50.0,0.16,0.5
2025-10-29 12:51:11,5.41,25.4,110.0,0.12,0.5
2025-10-29 12:51:12,5.4,25.4,80.0,0.12,0.5
