Fecha;Sitio;Profundidad;pH;Clorofila (µg/L);Ficocianina (µg/L);Turbidez (NTU);Oxígeno disuelto (mg/L);Temperatura (°C);Conductividad (µS/cm)
11/02/2020;Centro-Weiss G;7;8.690337341;2.048027896;0.044267202;0.626949652;7.93955955;21.6;452.3
11/02/2020;Centro-Weiss G;8;8.700203333;2.039635308;0.039663638;0.617276127;7.939974996;21.6;452.3
11/02/2020;Centro-Weiss G;9;8.693978451;2.116642221;0.035813833;0.609003122;7.94;21.6;452.3
11/02/2020;Centro-Weiss G;10;8.677171617;2.173373914;0.047344583;0.60822833;7.940292385;21.6;452.3000615
11/02/2020;Centro-Weiss G;11;8.653981828;2.186884307;0.034962249;0.607400458;7.93846039;21.6;452.301066
11/02/2020;Centro-Weiss G;12;8.616727124;2.289610679;0.002055362;0.610836685;7.931543568;21.6;452.2517597
11/02/2020;Centro-Weiss G;13;8.576471897;2.356089599;0.003546449;0.616465326;7.929775828;21.6;452.1812228
11/02/2020;Centro-Weiss G;14;8.539430555;2.297162074;0.023805829;0.630259089;7.92843374;21.6;452.1039663
11/02/2020;Centro-Weiss G;15;8.500454416;2.270500339;0.038980315;0.644115122;7.9217968;21.6005568;451.9795041
11/02/2020;Centro-Weiss G;16;8.470462228;2.37092454;0.044215475;0.645105668;7.919714021;21.60425659;451.8484729
11/02/2020;Centro-Weiss G;17;8.451546221;2.436180791;0.055874335;0.650067068;7.920119171;21.55768337;451.7409444
11/02/2020;Centro-Weiss G;18;8.422151137;2.485220138;0.071398807;0.665641305;7.914705533;21.50086748;451.5453633
11/02/2020;Centro-Weiss G;19;8.38207325;2.556786806;0.083058177;0.676752152;7.909934336;21.49780242;451.3942255
11/02/2020;Centro-Weiss G;20;8.339064918;2.707116768;0.114942859;0.668605464;7.907253915;21.50004342;451.2188005
11/02/2020;Centro-Weiss G;21;8.289499476;2.851941642;0.141132079;0.664109752;7.901322249;21.50399767;451.0053133
