Fecha;Hora;Sitio;pH;Temperatura (°C);Conductividad (uS/cm);O2 (mg/L);Turbidez (NTU);Clorofila (ug/L)
4/01/2023;-;Lago de Amatitlán/Este Centro;9.21;24.58;623.2;12.98;76;318.98
4/01/2023;-;Lago de Amatitlán/Bahía Playa de Oro;9.21;23.95;606.9;3.66;33;217.52
4/01/2023;-;Lago de Amatitlán/Oeste Centro;8.52;23.85;615.7;10.65;19;169.81
4/01/2023;-;Lago de Amatitlán/Río Michatoya ;8.62;23.9;413;11.67;18;273.76
4/01/2023;-;Lago de Amatitlán/Playa Pública;8.81;24.2;416;14.38;82;585.62
2/02/2023;-;Lago de Amatitlán/Este Centro;8.77;22.7;627.4;10.65;24;134.21
2/02/2023;-;Lago de Amatitlán/Bahía Playa de Oro;8.31;22.38;615.7;6.89;18;100.04
2/02/2023;-;Lago de Amatitlán/Oeste Centro;8.27;23.06;636.8;8.6;14;137.77
2/02/2023;-;Lago de Amatitlán/Río Michatoya ;8.31;23.1;420;8.78;14;170.17
2/02/2023;-;Lago de Amatitlán/Playa Pública;8.37;23.4;421;9.16;17;175.86
2/03/2023;-;Lago de Amatitlán/Este Centro;8.83;24.41;634.6;10.15;43;134.21
2/03/2023;-;Lago de Amatitlán/Bahía Playa de Oro;9.28;26.39;607.9;21.52;45;100.04
2/03/2023;-;Lago de Amatitlán/Oeste Centro;8.69;25.05;657.5;12.4;23;137.77
2/03/2023;-;Lago de Amatitlán/Río Michatoya ;9.1;27.51;656.8;18.82;44;170.17
2/03/2023;-;Lago de Amatitlán/Playa Pública;8.88;25.74;654.8;20.05;32;175.86
10/04/2023;-;Lago de Amatitlán/Este Centro;9.36;24.82;631.7;11.01;32;59.1
10/04/2023;-;Lago de Amatitlán/Bahía Playa de Oro;8.6;25.18;620.3;21.52;27;65.5
10/04/2023;-;Lago de Amatitlán/Oeste Centro;8.13;24.9;669.8;5.6;21;87.58
10/04/2023;-;Lago de Amatitlán/Río Michatoya ;8.54;24.53;679.6;8.16;45;156.64
10/04/2023;-;Lago de Amatitlán/Playa Pública;8.54;25.19;676.3;10.35;41;161.98
2/05/2023;-;Lago de Amatitlán/Este Centro;9.31;26.3;637;10.16;11;39.52
2/05/2023;-;Lago de Amatitlán/Bahía Playa de Oro;8.9;27.86;643.4;15.29;56;210.4
2/05/2023;-;Lago de Amatitlán/Oeste Centro;8.99;26.95;688.1;12.05;53;284.8
2/05/2023;-;Lago de Amatitlán/Río Michatoya ;9.13;27.45;760.6;14.69;4,900;176006.4
2/05/2023;-;Lago de Amatitlán/Playa Pública;8.6;26.99;690.2;14.3;135;687.79
7/06/2023;-;Lago de Amatitlán/Este Centro;9.95;26.93;608.6;18.2;139;685.66
7/06/2023;-;Lago de Amatitlán/Bahía Playa de Oro;8.3;26.33;623;2.89;40;151.66
7/06/2023;-;Lago de Amatitlán/Oeste Centro;9.33;26.95;671.8;13.99;47;225.7
7/06/2023;-;Lago de Amatitlán/Río Michatoya ;9.6;28.38;677.8;21.61;92;187.26
7/06/2023;-;Lago de Amatitlán/Playa Pública;9.48;27.72;670.4;209.9;84;375.22
10/07/2023;-;Lago de Amatitlán/Este Centro;9.63;25.78;582.5;9.97;39;135.28
10/07/2023;-;Lago de Amatitlán/Bahía Playa de Oro;7.77;25.89;624.7;0.84;20;72.98
10/07/2023;-;Lago de Amatitlán/Oeste Centro;9;26.21;629.4;7.42;20;94.7
10/07/2023;-;Lago de Amatitlán/Río Michatoya ;9.61;27.67;633;19.58;91;573.16
10/07/2023;-;Lago de Amatitlán/Playa Pública;9.45;27.74;632.9;20.04;67;339.27
1/08/2023;-;Lago de Amatitlán/Este Centro;9.49;25.97;594;10.31;16;87.58
1/08/2023;-;Lago de Amatitlán/Bahía Playa de Oro;8.76;25.7;608.4;10.33;27;169.1
1/08/2023;-;Lago de Amatitlán/Oeste Centro;8.64;25.17;617.7;8.42;31;190.82
1/08/2023;-;Lago de Amatitlán/Río Michatoya ;8.98;25.87;615;12.03;49;232.47
1/08/2023;-;Lago de Amatitlán/Playa Pública;9.21;26.24;612.1;19.01;63;384.84
4/09/2023;-;Lago de Amatitlán/Este Centro;9.5;26.53;565.5;12.6;13;102.17
4/09/2023;-;Lago de Amatitlán/Bahía Playa de Oro;8.74;26.52;594.2;6.48;29;118.9
4/09/2023;-;Lago de Amatitlán/Oeste Centro;8.73;26.85;599.7;8.88;20;127.8
4/09/2023;-;Lago de Amatitlán/Río Michatoya ;9.37;27.58;587.5;19.5;63;407.26
4/09/2023;-;Lago de Amatitlán/Playa Pública;9.21;27.74;632.9;20.04;61;430.76
2/10/2023;-;Lago de Amatitlán/Este Centro;9.39;26.94;553.2;7.43;18;80.1
2/10/2023;-;Lago de Amatitlán/Bahía Playa de Oro;8.8;27.17;594.1;10.03;26;116.77
2/10/2023;-;Lago de Amatitlán/Oeste Centro;8.39;29.86;599.2;4.2;15;48.06
2/10/2023;-;Lago de Amatitlán/Río Michatoya ;9.14;26.86;596.2;12.51;27;173.37
2/10/2023;-;Lago de Amatitlán/Playa Pública;8.94;27.04;597.6;13.44;25;173.73
2/11/2023;-;Lago de Amatitlán/Bahía Playa de Oro;7.84;24.21;623;1.55;15;53.04
2/11/2023;-;Lago de Amatitlán/Oeste Centro;7.78;24.3;602.5;0.44;8;37.02
2/11/2023;-;Lago de Amatitlán/Río Michatoya ;8.02;24.25;592.2;2.87;14;90.42
2/11/2023;-;Lago de Amatitlán/Playa Pública;7.78;24.25;595.8;2.01;10;75.12
4/12/2023;-;Lago de Amatitlán/Este Centro;8.2;24.2;603.3;3.99;10;54.11
4/12/2023;-;Lago de Amatitlán/Bahía Playa de Oro;8.52;25.05;614;8.88;22;163.4
4/12/2023;-;Lago de Amatitlán/Oeste Centro;7.56;24.08;621.8;0.7;7;24.21
4/12/2023;-;Lago de Amatitlán/Río Michatoya ;7.73;24.15;619.7;1.31;6;27.06
4/12/2023;-;Lago de Amatitlán/Playa Pública;7.85;24.58;621.4;2.4;7;33.82
9/01/2024;10:19;Lago de Amatitlán/Este Centro;8.62;23.85;609.7;12.28;14;80.81
9/01/2024;11:15;Lago de Amatitlán/Bahía Playa de Oro;8.56;25.31;610.3;16.67;181;165.9
9/01/2024;12:20;Lago de Amatitlán/Oeste Centro;8.07;25.18;677;5.55;28;28.3
9/01/2024;13:06;Lago de Amatitlán/Río Michatoya ;7.7;24.88;651.4;2.21;6;16.38
9/01/2024;13:16;Lago de Amatitlán/Playa Pública;7.8;24.58;653.8;2.51;5;13.53
